ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
18841,0.1,0.05,0.07,0.0,0.0,0.01,0.0,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.58,0.36,0.01,0.59
128408,0.15,0.06,0.09,0.0,0.0,0.03,0.0,0.01,0.15,0.01,0.0,0.01,0.01,0.0,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.08,0.25,0.52,0.09,0.37
20136,0.17,0.05,0.07,0.0,0.0,0.02,0.0,0.0,0.05,0.14,0.0,0.0,0.0,0.01,0.1,0.07,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.1,0.5,0.38,0.11
109276,0.21,0.02,0.1,0.0,0.01,0.01,0.02,0.01,0.07,0.06,0.0,0.02,0.0,0.0,0.03,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.01,0.27,0.53,0.11,0.33
121995,0.09,0.15,0.05,0.0,0.01,0.01,0.0,0.0,0.2,0.02,0.0,0.01,0.0,0.01,0.04,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.27,0.54,0.1,0.34
34296,0.12,0.05,0.1,0.0,0.04,0.02,0.01,0.0,0.13,0.0,0.0,0.04,0.0,0.0,0.03,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.02,0.01,0.21,0.51,0.19,0.29
10564,0.26,0.0,0.09,0.0,0.05,0.01,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.0,0.03,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.28,0.49,0.15,0.34
228686,0.35,0.01,0.09,0.0,0.03,0.01,0.04,0.0,0.06,0.01,0.0,0.04,0.0,0.0,0.03,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.01,0.0,0.14,0.64,0.13,0.2
255955,0.29,0.06,0.1,0.0,0.0,0.01,0.0,0.0,0.19,0.06,0.0,0.02,0.01,0.0,0.01,0.04,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.08,0.74,0.11,0.12
193697,0.47,0.01,0.16,0.0,0.0,0.01,0.0,0.01,0.05,0.04,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.17,0.77,0.02,0.19
